,Cities,Lat,Temperature,Humidity,Cloudiness,Wind Speed
169,tommot,57.74001349764305,55.66,94,92,2.37
170,chapais,52.876537496915745,75.2,33,1,12.75
171,manaure,12.42168477693454,96.8,41,40,11.41
172,grindavik,53.28790272796965,51.08,87,75,12.75
173,caucaia,-0.8927510276496804,84.2,58,20,17.22
174,hofn,69.83467604911198,51.97,88,76,6.96
175,espanola,36.529143577542555,76.54,65,36,5.06
176,satitoa,-14.319021940676194,,,,
177,mahibadhoo,3.673243757448148,83.02,100,88,15.12
178,aswan,24.670997888095542,91.84,25,0,5.39
179,formoso do araguaia,-10.298539837894381,,,,
180,nikolskoye,49.903736420668906,62.6,88,75,8.95
181,nuuk,60.648516709201544,48.2,87,75,5.82
182,chuy,-70.08961572240486,47.29,100,92,25.08
183,mys shmidta,78.18787647156788,,,,
184,nyurba,67.43199467293846,59.8,91,76,2.48
185,attawapiskat,61.092877229906776,,,,
186,thohoyandou,-22.64042616033919,58.09,81,0,3.04
187,waingapu,-12.026253106639828,65.38,88,0,6.85
188,kutum,13.72375758469785,73.75,71,80,4.83
189,bengkulu,-14.537694901808251,,,,
190,bethel,47.2121768783621,55.4,93,90,8.05
191,lakatoro,-17.775288811858587,75.01,95,56,6.73
192,angoche,-17.50967204814006,77.89,99,0,7.52
193,conakry,8.731094341443537,80.6,83,75,6.93
194,andra,62.8743822137524,49.09,89,0,2.37
195,port hardy,41.466535110742996,57.2,87,90,5.82
196,quelimane,-18.146805084854932,73.4,88,0,4.7
197,skiros,38.870918332536206,,,,
198,kaitangata,-55.62938782459147,24.97,59,12,8.41
199,gola gokarannath,28.06413804090309,86.35,86,32,2.93
200,puerto leguizamo,-1.8763201096085567,90.13,57,0,2.93
201,kathmandu,27.861760337459998,71.6,88,75,5.82
202,saleaula,-1.4654484506549181,,,,
203,homer,57.37868937802051,60.8,67,90,8.05
204,trofors,64.29255549960487,53.04,76,40,8.05
205,talara,-5.211205200387042,78.8,54,0,14.99
206,eastlake,42.09147706826897,80.6,61,1,4.7
207,bonthe,2.221575188876855,72.76,100,92,6.4
208,rayagada,19.40339806426654,70.15,99,44,2.48
209,saldanha,-35.376423348361065,86.26,21,0,7.29
210,idil,37.09306433187952,84.2,39,0,2.24
211,evensk,60.60187956771554,54.85,96,0,11.99
212,roebourne,-21.77523766981176,53.41,57,0,6.4
213,camacha,36.10571677856042,73.65,73,40,11.41
214,souillac,-56.513307984248925,78.01,44,0,9.17
215,santa vitoria do palmar,-33.166702950119,47.29,100,92,25.08
216,ust-kamchatsk,55.259680201901915,,,,
217,domodossola,46.226191296447666,65.41,73,20,1.36
218,krosno odrzanskie,52.2505895978384,79.51,41,0,4.38
219,ahipara,-34.35056384679397,55.3,98,32,14.45
220,lulea,64.84765308151623,59,51,0,10.29
221,aberdeen,45.67169639188248,69.8,83,90,12.75
222,fort-shevchenko,43.42990725483833,72.58,83,0,16.8
223,ulladulla,-37.818397022613595,44.6,42,0,12.75
224,mar del plata,-62.67316167559225,51.61,46,0,13.56
225,sitka,43.25561844775618,75.1,94,20,14.79
226,kirensk,57.42444918756769,55.93,100,92,2.59
227,vytegra,60.76845610165108,60.97,100,100,14.45
228,ardakan,33.36341725354559,93.2,6,0,4.7
229,sorland,73.85571199276114,54.59,93,40,14.99
230,villalba,18.11307961123974,86.85,58,40,13.87
231,tautira,-19.3225125764135,78.8,65,20,5.82
232,boden,66.10276363625607,59,51,0,10.29
233,klaksvik,63.666866250070115,51.8,87,0,5.82
234,port macquarie,-34.085456044135654,51.8,32,0,17.22
235,norman wells,61.65565358070103,62.6,63,20,5.82
236,nanortalik,54.71296465058887,41.8,100,92,6.17
237,sitamarhi,26.63321749777664,77.53,97,36,4.5
238,necochea,-48.25223616279918,46.57,77,92,14.67
239,katsuura,24.73461760294211,68.53,93,0,3.38
240,saint anthony,52.16310730781319,72.86,37,1,4.7
241,hamilton,26.393853075018185,84.2,70,20,10.29
242,bestobe,52.50016212613252,63.94,81,88,11.77
243,karratha,-18.84266894480858,53.41,57,0,6.4
244,brandfort,-28.481032408808687,53.6,46,0,3.36
245,san cristobal,-12.531962047462429,60.8,55,75,20.8
246,broken hill,-29.748619733126937,35.95,95,0,5.95
247,cabo san lucas,17.59088235919168,91.63,59,5,9.17
248,verkhnevilyuysk,62.51536767540583,58.18,94,32,2.59
249,mahadday weyne,3.02612309365729,,,,
250,lusambo,-5.144597851419562,84.1,43,20,2.59
251,barentsburg,80.9339175118431,,,,
252,ancud,-40.99230382980268,50.44,64,0,6.73
253,vrangel,41.25531023157586,67.81,100,68,5.61
254,safaga,26.44607246662038,,,,
255,vangaindrano,-23.97121438884166,64.57,90,32,4.72
256,dolores,-36.660397801703056,48.55,97,36,15.35
257,fort nelson,62.98700619354216,68,30,75,10.29
258,jabinyanah,35.036898327625664,82.4,69,40,6.93
259,tiarei,-11.316640842375975,78.8,65,20,5.82
260,ndele,8.534293127160524,,,,
261,tyup,42.784886680928565,43.69,100,0,1.81
262,wassenberg,51.06612213147196,74.21,60,0,8.05
263,saint-francois,18.316285579701088,78.8,36,0,4.7
264,kidal,18.994332072003303,79.24,80,64,2.37
265,lagoa,51.89673631740459,84.2,48,0,5.82
266,jinxiang,26.314939840613903,75.82,100,100,5.17
267,tongren,27.649733877672375,71.86,90,0,1.25
268,airai,11.908001389157377,56.92,85,0,1.7
269,parana,-32.23034983202888,91.4,52,75,2.24
270,ufimskiy,56.640219683026515,51.97,84,88,2.37
271,kulhudhuffushi,6.7386479538212996,83.47,97,88,18.03
272,san ignacio,23.76478373422583,60.8,38,0,9.17
273,canon city,38.25593417672758,84.19,8,0,3.6
274,touros,3.207419958158937,82.3,67,0,19.6
275,luderitz,-27.27919938885158,53.23,96,24,6.06
276,sechura,-10.835657014574167,72.31,83,0,11.21
277,severnyy,72.07084854723433,,,,
278,surab,28.25751056741703,70.42,38,0,2.37
279,bur gabo,-2.208857731670946,,,,
280,atocha,-20.970393167804943,60.8,55,75,20.8
281,guaratinga,-16.705702204551173,,,,
282,naze,28.589249596012024,75.55,92,80,5.61
283,santa cruz,9.697321663600192,66.45,77,75,6.93
284,rungata,-1.0020767579823797,,,,
285,saint george,29.543701023849053,82.4,37,0,4.7
286,kavaratti,9.63587574801926,80.41,100,88,17.81
287,constitucion,24.447819021915137,78.8,41,20,3.49
288,gravdal,70.40409122257265,60.8,63,75,14.99
289,mananara,-16.329482035901634,,,,
290,krasnotorka,48.97571786176783,67.45,34,0,6.96
291,bouar,5.665941678187565,66.73,96,68,3.38
292,carnarvon,-22.609499952626038,52.51,29,64,9.19
293,ukhta,63.434062905279035,60.97,67,8,6.4
294,vilyuysk,62.69013320763847,60.7,97,76,3.15
295,tsihombe,-37.932498197325096,,,,
296,chino,36.03193246061849,48.01,95,24,1.81
297,daru,-9.828557915479479,70.78,100,92,7.85
298,northam,-28.80846011807568,64.76,82,75,11.41
299,dingle,49.12632858943422,75.82,96,92,5.17
300,luau,-11.059308228708005,72.76,26,0,5.17
301,mergui,11.495171203830864,,,,
302,beloha,-26.886154798975717,68.71,70,0,7.52
303,manado,3.3063007279934027,71.6,94,20,3.36
304,lufilufi,-12.50248667855115,81.13,100,68,11.77
305,chumikan,54.25471884431744,49.09,94,0,3.15
306,marrakesh,32.33959195406564,98.6,27,20,10.29
307,poum,-16.80798018588105,64.4,68,40,3.36
308,altay,47.24614197734721,47.38,87,24,2.93
309,riverton,42.550277814264035,63.09,55,75,5.82
310,dekernes,31.035869618852487,82.4,78,0,9.17
311,lamu,-3.3333868847070676,76.72,90,88,3.15
312,goure,14.841045323727656,74.65,89,24,1.03
313,ambilobe,-13.10596488287544,71.32,63,0,15.68
314,lompoc,31.58941412058749,70.52,82,90,4.7
315,ban nahin,18.104252241511034,72.13,98,92,0.36
316,meulaboh,-2.941304472945319,81.22,100,88,1.14
317,gojra,31.318956402755262,87.43,75,0,7.07
318,pudozh,62.4304084846203,60.34,97,100,15.79
319,maracaibo,11.36397200949446,84.2,51,40,3.36
320,inhambane,-25.828760755354807,73.4,88,20,4.94
321,las vegas,35.67219699043406,99.79,19,1,5.82
322,kismayo,-5.049045273869439,,,,
323,portland,-52.838776888089846,71.37,60,1,6.93
324,waipawa,-43.43140124786982,27.49,75,56,2.15
325,faya,19.164256322728676,72.46,40,0,6.93
326,detchino,54.798610979210395,65.29,65,0,6.4
327,banfora,10.259176624192179,75.82,85,76,10.87
328,myaundzha,63.21474766512196,46.66,97,48,3.27
329,sentyabrskiy,42.46182221686186,,,,
330,palabuhanratu,-16.963936517856823,,,,
331,ostrovnoy,74.79096857347483,58.63,76,32,20.27
332,tezu,31.210042256516914,71.86,85,24,1.92
333,visby,56.29005820010991,66.2,88,20,12.75
334,porto seguro,-16.678173254879894,76.54,86,44,7.18
335,chimoio,-18.526647945163845,66.2,63,0,6.93
336,nguiu,-11.431615759282067,,,,
337,kirovskiy,45.78942386859822,64.84,82,76,3.04
338,praia,6.985883683236565,73.4,46,40,5.82
339,terrace bay,48.13709805901783,64.4,82,90,5.82
340,qaqortoq,58.37460143952927,48.2,81,75,5.82
341,srednekolymsk,69.17217124074085,40.54,72,80,6.73
342,vila velha,-21.81098050874371,84.2,58,20,17.22
343,malyn,50.94423513949391,67.72,89,20,2.82
344,saucillo,28.14634832517352,87.61,44,0,4.27
345,nantucket,37.25661598287516,69.8,82,90,13.87
346,osakarovka,50.493775197835646,69.34,70,92,4.94
347,verkhnyaya inta,67.33602026673063,54.31,92,64,5.39
348,galesong,-5.673087703363265,73.4,78,20,3.36
349,ixtapa,13.077353017555652,87.8,70,20,6.93
350,adrar,28.38373906781534,105.8,16,0,16.11
351,weyburn,49.360802087230155,67.45,51,0,9.86
352,bosaso,12.608084551736539,87.25,86,0,2.82
353,barawe,-2.111861753738552,,,,
354,sur,14.835122541913478,85,88,36,4.16
355,tessalit,23.86275798517414,86.08,51,44,13.67
356,sao joao da barra,-30.53243408395077,78.8,50,20,9.17
357,biloela,-25.882162328553036,43.69,52,0,13.44
358,nam tha,21.143943680053397,,,,
359,abu jubayhah,11.570240506272711,,,,
360,parasia,22.201641349359676,71.32,97,88,8.63
361,halifax,44.911353384774884,71.6,60,90,13.87
362,diamantino,-13.223291513046505,93.55,37,0,4.27
363,ende,-9.262335191887558,77.08,100,0,7.96
364,fukue,32.84036472367184,73.4,69,75,5.82
365,manoel urbano,-8.260421405188694,94.18,43,8,2.93
366,ulaangom,49.95846952781318,47.38,86,76,2.93
367,flinders,-34.07266112036784,44.6,42,0,12.75
368,aden,12.532787778935173,82.84,77,12,15.46
369,isangel,-21.07444463593282,73.12,100,36,9.75
370,pitimbu,-7.749256357191456,80.6,61,75,18.34
371,torbay,34.3127140771512,57.2,93,90,10.29
372,sao filipe,9.309410544230232,78.61,96,12,9.86
373,borba,-5.022974722622266,98.6,22,0,3.36
374,tabas,34.00713134834854,76.72,20,0,2.71
375,sherbakul,54.19266786429921,56.02,99,92,9.19
376,yei,4.4588326769108875,,,,
377,santa maria,16.382943609225464,60.8,87,75,8.05
378,batemans bay,-37.3005333310194,47.2,87,0,14.45
379,bowen,-16.590579814248002,44.6,87,0,5.82
380,alta floresta,-7.89878768589125,93.28,45,0,3.04
381,la romana,17.965434145983068,88.86,49,40,11.41
382,batagay-alyta,67.2075328881225,47.92,83,64,2.71
383,pokrovsk,60.74538027117637,70.24,32,0,8.97
384,mildura,-34.68516377777781,35.68,91,0,3.38
385,half moon bay,33.364401116996845,65.95,87,90,4.7
386,tabiauea,0.26453957497326996,,,,
387,arai,37.05339827865416,71.69,68,1,3.36
388,srednyaya yelyuzan,52.95195154876038,54.67,79,0,2.37
389,elizabeth city,35.681171218858566,84.51,74,75,6.96
390,polunochnoye,61.40601461591464,54.13,68,68,5.84
391,emerald,-24.711470774423987,41.26,50,0,7.52
392,qasigiannguit,67.21113884429613,48.2,45,20,5.82
393,pierre,43.574986109799056,62.6,93,90,25.28
394,plainview,34.376440078719355,82.51,54,1,5.82
395,asayita,12.280249593972144,,,,
396,sulangan,11.2622966983391,82.21,100,44,18.48
397,bambous virieux,-28.182960014493254,73.4,69,40,17.22
398,huilong,32.1949125384229,74.02,89,0,0.92
399,taoudenni,25.20188774168689,105.61,20,24,4.72
400,egvekinot,59.78280638926972,44.59,95,48,3.38
401,hualmay,-18.719186558507673,67.81,67,0,4.72
402,monkey hill,17.428612138140025,87.17,66,40,12.75
403,pali,25.622221286162343,80.32,85,68,8.41
404,pisco,-27.605603706867825,62.6,82,90,4.7
405,prince rupert,54.83336993488294,60.8,77,1,12.75
406,mandalgovi,43.82679011089479,53.59,73,0,15.12
407,sattenapalle,16.61475800876488,75.37,96,92,11.99
408,kedrovyy,56.54693885868531,55.4,100,0,2.59
409,seymchan,62.373950179249306,45.67,64,0,12.66
410,poya,-23.16726492764394,66.37,100,100,9.31
411,gorele,40.977528956016755,77,73,40,4.7
412,myanaung,18.031383096438304,74.38,100,92,12.66
413,panalingaan,9.836207455823882,79.15,94,44,1.92
414,berlevag,74.67430066353907,51.8,93,75,17.22
415,denpasar,-13.220499520938333,77,88,75,11.41
416,champerico,8.091168607009976,84.2,66,40,1.92
417,garut,-7.631378704741465,55.03,89,0,1.7
418,marawi,17.97437268330944,65.47,97,56,1.92
419,sharanga,57.29721110702724,58.54,82,0,5.95
420,solnechnyy,62.33754259932539,56.02,96,80,2.48
421,ginir,7.024547095726234,66.55,66,36,8.08
422,ust-tsilma,65.21350440367192,63.67,62,0,7.85
423,fort saint john,54.96851850639942,,,,
424,sivaki,51.4222630741653,49.99,85,8,2.59
425,boende,-1.8239601442163718,74.65,85,12,4.27
426,umm kaddadah,14.102363620764535,72.31,91,88,9.98
427,urumqi,41.7985627338642,,,,
428,mazagao,-0.035443827299687314,93.2,52,20,11.41
429,sobolevo,53.30177846421594,64.75,92,0,5.39
430,xichang,28.515631268193914,62.59,80,92,1.7
431,kibre mengist,5.560171810574687,59.17,96,76,2.37
432,mitu,2.653035283139161,67.45,34,0,3.6
433,olafsvik,65.44046948013263,,,,
434,axim,4.578813673201168,76.72,99,64,12.88
435,edinburg,26.40695747860029,99.36,35,1,17.22
436,arroyo,17.303018366085553,70.97,68,75,3.27
437,lenger,41.99505114150949,71.6,35,0,6.71
438,henties bay,-22.921378924157807,57.73,94,0,5.17
439,dinsor,2.471281030484363,,,,
440,chimore,-16.1239360714996,76.72,93,12,3.83
441,walvis bay,-23.78133510815394,56.29,100,24,3.15
442,puerto baquerizo moreno,0.7200460938908293,75.2,83,75,14.99
443,rawson,-45.92028733649373,50.98,35,0,10.54
444,paamiut,59.15062826285654,43.06,100,48,4.83
445,kota kinabalu,6.969710099867299,78.8,61,75,5.82
446,berezovyy,52.04280941743116,49.99,96,0,2.71
447,waounde,15.307688995241065,100.4,31,75,4.7
448,gat,24.389804602678367,89.6,62,0,6.93
449,makokou,0.18289774417611682,77.53,79,88,3.38
450,tieli,46.309633084103496,61.15,89,0,6.4
451,mareeba,-14.147701143320177,69.8,28,0,10.29
452,kerki,37.844646992778195,,,,
453,sakakah,28.48449433371995,,,,
454,sumbe,-10.205173658793655,70.51,97,0,6.62
455,mayumba,-9.648441384479042,71.32,91,0,4.5
456,phalombe,-15.69660281455161,66.28,49,56,4.38
457,bolungarvik,67.10643915827717,,,,
458,barabash,43.28154215522093,64.4,100,24,6.71
459,zhangye,39.375690806880215,62.32,91,100,2.93
460,kayerkan,70.73352219126397,42.79,83,0,8.52
461,tingrela,10.647358000522175,,,,
462,port hedland,-24.682065303604375,60.8,36,0,9.17
463,lavrentiya,66.00698582755666,45.94,96,92,12.21
464,manica,-19.286147777716693,66.2,63,0,6.93
465,westport,56.59819327697045,62.6,93,75,3.36
466,lata,-9.36597104189218,60.79,100,56,1.7
467,phrai bung,14.561148752696084,,,,
468,armacao dos buzios,-23.123805185043125,,,,
469,aasiaat,68.80869423670009,44.86,90,44,5.39
470,bandarbeyla,9.117706002316623,77.89,87,0,36.26
471,fairbanks,63.325168438499986,50,76,75,3.36
472,namibe,-15.457931014929926,66.19,97,0,4.16
473,cabatuan,13.063219073547387,71.77,97,64,2.93
474,yabelo,5.297949612629822,70.24,60,76,5.61
475,zapolyarnyy,69.47242627573573,55.4,82,40,8.05
476,broome,-15.163834875417095,72.72,68,75,6.93
477,ketchikan,52.992302700363865,64.31,52,1,12.75
478,hovd,43.67754936013944,52.66,76,75,23.04
479,khasan,41.10339255279251,66.55,100,92,3.27
480,syedove,47.37481059916263,76.54,66,0,18.81
481,port hawkesbury,40.599460568143456,73.4,53,1,8.05
482,shubarkuduk,49.684760070109974,62.32,46,0,17.47
483,eyl,5.076762947354652,80.32,66,0,24.18
484,bonfim,2.2631050292122836,86.98,81,32,10.65
485,guarda,40.842893100123064,86.44,29,0,5.95
486,rorvik,66.78698214574945,51.8,81,40,19.46
487,mandurah,-32.451529298300315,64.4,55,80,13.87
488,staszow,50.60527998520553,75.91,63,44,2.37
489,karpogory,63.06922073063632,68.08,67,92,9.98
490,canto do buriti,-8.022970859706618,92.92,30,0,13.89
491,san patricio,14.919004487444212,71.05,71,92,8.52
492,januaria,-15.135683244930519,,,,
493,luanda,-9.876746511330097,71.6,83,75,4.7
494,mweka,-3.5381440192244042,85.72,46,56,2.59
495,paignton,50.06889622646551,68,82,75,11.41
496,laela,-8.087779508728673,61.96,45,0,4.72
497,gorom-gorom,15.119139478309222,84.91,71,0,6.4
498,krasne,46.06763168113915,66.2,82,0,5.84
499,phuket,7.285227462493765,78.31,83,75,3.36
500,argelia,4.808410608783731,76.15,78,40,8.05
501,talaya,61.341772860786165,58.9,68,0,6.96
502,sibolga,-0.1124080029441501,70.24,99,24,1.81
503,piacabucu,-13.980536122465935,83.47,55,24,14.56
504,tabuk,28.334519776929483,68.35,95,56,2.15
505,cullman,34.03743488769669,83.37,83,88,4.38
506,luba,3.8261703893097234,72.49,95,92,4.5
507,nueva gerona,22.13402002721537,83.47,100,32,5.95
508,vikindu,-6.9497617587725244,73.4,83,20,4.7
509,brigantine,37.10188636798918,73.44,88,90,14.99
510,merauke,-11.083752632411077,75.01,89,8,15.46
511,boyolangu,-11.074034277680653,64.39,89,0,2.93
512,plaster rock,46.79381579599598,73.4,46,20,6.93
513,berbera,10.25973236246287,,,,
514,guardiagrele,42.24909849155367,80.6,78,0,2.24
515,novyye burasy,52.3314393561723,66.2,52,0,2.24
516,wulanhaote,47.24955147670539,,,,
517,jining,40.69977595987797,74.65,98,92,5.39
518,port-cartier,51.44190118433775,64.4,55,75,9.17
519,vigrestad,56.4795447448202,60.8,67,20,10.29
520,vila franca do campo,35.297691402994005,77,69,20,10.29
521,cherskiy,81.49079959730884,33.52,100,88,9.53
522,ibra,23.042637258190794,80.68,57,44,2.37
